DE LOS TRABAJADORES,219,SAN JOSE,DESAMPARADOS,208411.00,118.26,1762.31,93.55,92.20,57355.00,3.62,66.01,4.85,98.29,8.92,27.55,74.29,41.56,14.33,8.94,10.54,14.54,34.18,6.91,64700,45303,1027
FRENTE AMPLIO,816,SAN JOSE,DESAMPARADOS,208411.00,118.26,1762.31,93.55,92.20,57355.00,3.62,66.01,4.85,98.29,8.92,27.55,74.29,41.56,14.33,8.94,10.54,14.54,34.18,6.91,64700,45303,1027
INTEGRACION NACIONAL,10014,SAN JOSE,DESAMPARADOS,208411.00,118.26,1762.31,93.55,92.20,57355.00,3.62,66.01,4.85,98.29,8.92,27.55,74.29,41.56,14.33,8.94,10.54,14.54,34.18,6.91,64700,45303,1027
LIBERACION NACIONAL,19343,SAN JOSE,DESAMPARADOS,208411.00,118.26,1762.31,93.55,92.20,57355.00,3.62,66.01,4.85,98.29,8.92,27.55,74.29,41.56,14.33,8.94,10.54,14.54,34.18,6.91,64700,45303,1027
MOVIMIENTO LIBERTARIO,1182,SAN JOSE,DESAMPARADOS,208411.00,118.26,1762.31,93.55,92.20,57355.00,3.62,66.01,4.85,98.29,8.92,27.55,74.29,41.56,14.33,8.94,10.54,14.54,34.18,6.91,64700,45303,1027
NUEVA GENERACION,887,SAN JOSE,DESAMPARADOS,208411.00,118.26,1762.31,93.55,92.20,57355.00,3.62,66.01,4.85,98.29,8.92,27.55,74.29,41.56,14.33,8.94,10.54,14.54,34.18,6.91,64700,45303,1027
RENOVACION COSTARRICENSE,593,SAN JOSE,DESAMPARADOS,208411.00,118.26,1762.31,93.55,92.20,57355.00,3.62,66.01,4.85,98.29,8.92,27.55,74.29,41.56,14.33,8.94,10.54,14.54,34.18,6.91,64700,45303,1027
REPUBLICANO SOCIAL CRISTIANO,5428,SAN JOSE,DESAMPARADOS,208411.00,118.26,1762.31,93.55,92.20,57355.00,3.62,66.01,4.85,98.29,8.92,27.55,74.29,41.56,14.33,8.94,10.54,14.54,34.18,6.91,64700,45303,1027
RESTAURACION NACIONAL,29462,SAN JOSE,DESAMPARADOS,208411.00,118.26,1762.31,93.55,92.20,57355.00,3.62,66.01,4.85,98.29,8.92,27.55,74.29,41.56,14.33,8.94,10.54,14.54,34.18,6.91,64700,45303,1027
UNIDAD SOCIAL CRISTIANA,15197,SAN JOSE,DESAMPARADOS,208411.00,118.26,1762.31,93.55,92.20,57355.00,3.62,66.01,4.85,98.29,8.92,27.55,74.29,41.56,14.33,8.94,10.54,14.54,34.18,6.91,64700,45303,1027
NULO,797,SAN JOSE,DESAMPARADOS,208411.00,118.26,1762.31,93.55,92.20,57355.00,3.62,66.01,4.85,98.29,8.92,27.55,74.29,41.56,14.33,8.94,10.54,14.54,34.18,6.91,64700,45303,1027
BLANCO,145,SAN JOSE,DESAMPARADOS,208411.00,118.26,1762.31,93.55,92.20,57355.00,3.62,66.01,4.85,98.29,8.92,27.55,74.29,41.56,14.33,8.94,10.54,14.54,34.18,6.91,64700,45303,1027
ACCESIBILIDAD SIN EXCLUSION,54,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
ACCION CIUDADANA,4651,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
ALIANZA DEMOCRATA CRISTIANA,43,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
DE LOS TRABAJADORES,25,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
FRENTE AMPLIO,109,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
INTEGRACION NACIONAL,1945,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
LIBERACION NACIONAL,4982,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
MOVIMIENTO LIBERTARIO,147,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
NUEVA GENERACION,129,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
